row_index,date,time,temp,weather,wind,humidity,barometer,visibility
2024-01-05 23:51,2024-01-05,23:51,1 °C,Clear.,No wind,54%,1023 mbar,16 km
2024-01-06 00:32,2024-01-06,00:32,0 °C,Clear.,7 km/h,56%,1023 mbar,4 km
2024-01-06 00:51,2024-01-06,00:51,1 °C,Clear.,6 km/h,54%,1023 mbar,16 km
2024-01-06 01:51,2024-01-06,01:51,0 °C,Clear.,6 km/h,56%,1023 mbar,16 km
2024-01-06 02:51,2024-01-06,02:51,1 °C,Clear.,No wind,54%,1023 mbar,16 km
2024-01-06 03:51,2024-01-06,03:51,0 °C,Clear.,6 km/h,56%,1022 mbar,16 km
2024-01-06 04:51,2024-01-06,04:51,0 °C,Clear.,No wind,56%,1022 mbar,16 km
2024-01-06 05:51,2024-01-06,05:51,0 °C,Clear.,No wind,56%,1022 mbar,16 km
2024-01-06 06:51,2024-01-06,06:51,0 °C,Clear.,No wind,59%,1023 mbar,16 km
2024-01-06 07:51,2024-01-06,07:51,1 °C,Sunny.,9 km/h,58%,1022 mbar,16 km
2024-01-06 08:51,2024-01-06,08:51,1 °C,Sunny.,7 km/h,61%,1023 mbar,16 km
2024-01-06 09:51,2024-01-06,09:51,2 °C,Sunny.,No wind,56%,1022 mbar,16 km
2024-01-06 10:51,2024-01-06,10:51,2 °C,Sunny.,15 km/h,57%,1021 mbar,16 km
2024-01-06 11:51,2024-01-06,11:51,2 °C,Scattered clouds.,11 km/h,57%,1020 mbar,16 km
2024-01-06 12:51,2024-01-06,12:51,3 °C,Mostly cloudy.,11 km/h,57%,1018 mbar,16 km
2024-01-06 13:51,2024-01-06,13:51,3 °C,Overcast.,11 km/h,60%,1017 mbar,16 km
2024-01-06 14:37,2024-01-06,14:37,3 °C,Mostly cloudy.,7 km/h,60%,1017 mbar,16 km
2024-01-06 14:51,2024-01-06,14:51,3 °C,Mostly cloudy.,17 km/h,62%,1016 mbar,13 km
2024-01-06 15:10,2024-01-06,15:10,3 °C,Light snow. Overcast.,17 km/h,65%,1017 mbar,3 km
2024-01-06 15:34,2024-01-06,15:34,2 °C,Light snow. Overcast.,17 km/h,75%,1016 mbar,1 km
2024-01-06 16:10,2024-01-06,16:10,1 °C,Light snow. Fog.,17 km/h,85%,1016 mbar,1 km
2024-01-06 16:27,2024-01-06,16:27,1 °C,Light snow. Fog.,13 km/h,88%,1016 mbar,3 km
2024-01-06 17:05,2024-01-06,17:05,1 °C,Light snow. Fog.,20 km/h,88%,1015 mbar,2 km
2024-01-06 18:00,2024-01-06,18:00,2 °C,Light snow. Fog.,17 km/h,88%,1014 mbar,5 km
2024-01-06 18:29,2024-01-06,18:29,2 °C,Light snow. Fog.,17 km/h,88%,1013 mbar,4 km
2024-01-06 19:51,2024-01-06,19:51,2 °C,Light snow. Fog.,20 km/h,88%,1009 mbar,6 km
2024-01-06 20:51,2024-01-06,20:51,2 °C,Light rain. Fog.,15 km/h,89%,1007 mbar,8 km
2024-01-06 21:35,2024-01-06,21:35,2 °C,Light snow. Fog.,26 km/h,85%,1007 mbar,4 km
2024-01-06 22:01,2024-01-06,22:01,2 °C,Light rain. Fog.,20 km/h,89%,1006 mbar,6 km
2024-01-06 22:51,2024-01-06,22:51,2 °C,Light rain. Fog.,19 km/h,89%,1005 mbar,10 km
2024-01-06 23:51,2024-01-06,23:51,2 °C,Light rain. Low clouds.,19 km/h,89%,1005 mbar,13 km
2024-01-07 00:51,2024-01-07,00:51,2 °C,Light rain. Fog.,22 km/h,89%,1005 mbar,6 km
2024-01-07 01:51,2024-01-07,01:51,2 °C,Light rain. Fog.,17 km/h,88%,1004 mbar,6 km
2024-01-07 02:51,2024-01-07,02:51,2 °C,Fog.,17 km/h,89%,1003 mbar,8 km
2024-01-07 03:51,2024-01-07,03:51,2 °C,Light rain. Fog.,15 km/h,92%,1003 mbar,8 km
2024-01-07 04:51,2024-01-07,04:51,3 °C,Light rain. Fog.,17 km/h,89%,1002 mbar,6 km
2024-01-07 05:59,2024-01-07,05:59,3 °C,Light rain. Fog.,11 km/h,93%,1003 mbar,5 km
2024-01-07 06:51,2024-01-07,06:51,3 °C,Light rain. Fog.,13 km/h,89%,1002 mbar,6 km
2024-01-07 07:51,2024-01-07,07:51,3 °C,Light rain. Fog.,17 km/h,89%,1002 mbar,6 km
2024-01-07 08:51,2024-01-07,08:51,3 °C,Low clouds.,11 km/h,89%,1002 mbar,11 km
2024-01-07 09:35,2024-01-07,09:35,3 °C,Light rain. Overcast.,13 km/h,89%,1002 mbar,13 km
2024-01-07 09:43,2024-01-07,09:43,3 °C,Low clouds.,19 km/h,89%,1002 mbar,14 km
2024-01-07 09:51,2024-01-07,09:51,3 °C,Low clouds.,9 km/h,89%,1002 mbar,16 km
2024-01-07 10:51,2024-01-07,10:51,3 °C,Light rain. Low clouds.,9 km/h,86%,1002 mbar,11 km
2024-01-07 11:07,2024-01-07,11:07,2 °C,Light snow. Fog.,11 km/h,88%,1003 mbar,3 km
2024-01-07 11:32,2024-01-07,11:32,2 °C,Light snow. Fog.,7 km/h,88%,1003 mbar,4 km
2024-01-07 11:51,2024-01-07,11:51,1 °C,Light snow. Fog.,11 km/h,92%,1002 mbar,3 km
2024-01-07 12:10,2024-01-07,12:10,2 °C,Light snow. Fog.,15 km/h,92%,1003 mbar,5 km
2024-01-07 12:35,2024-01-07,12:35,2 °C,Light rain. Low clouds.,11 km/h,92%,1003 mbar,13 km
2024-01-07 12:51,2024-01-07,12:51,2 °C,Low clouds.,N/A,89%,1002 mbar,16 km
2024-01-07 13:51,2024-01-07,13:51,3 °C,Mostly cloudy.,13 km/h,86%,1002 mbar,16 km
2024-01-07 14:51,2024-01-07,14:51,3 °C,Overcast.,6 km/h,79%,1003 mbar,16 km
2024-01-07 15:51,2024-01-07,15:51,3 °C,Mostly cloudy.,13 km/h,73%,1004 mbar,16 km
2024-01-07 16:12,2024-01-07,16:12,3 °C,More clouds than sun.,15 km/h,73%,1006 mbar,16 km
2024-01-07 17:00,2024-01-07,17:00,3 °C,Mostly cloudy.,11 km/h,76%,1007 mbar,16 km
